Match,Type,Time,Red1,Red1IsSurrogate,Red2,Red2IsSurrogate,Red3,Red3IsSurrogate,Blue1,Blue1IsSurrogate,Blue2,Blue2IsSurrogate,Blue3,Blue3IsSurrogate
Q1,Qualification,2024-04-23 11:00:00 -0400 EDT,7617,false,1720,false,5484,false,4485,false,1501,false,2909,false
Q2,Qualification,2024-04-23 11:06:00 -0400 EDT,7198,false,829,false,7454,false,2171,false,3176,false,1741,false
Q3,Qualification,2024-04-23 11:12:00 -0400 EDT,7657,false,1555,false,3940,false,5188,false,3494,false,3890,false
Q4,Qualification,2024-04-23 11:18:00 -0400 EDT,3947,false,234,false,4580,false,135,false,8564,false,71,false
Q5,Qualification,2024-04-23 11:24:00 -0400 EDT,6721,false,3559,false,3940,false,45,false,447,false,7657,false
Q6,Qualification,2024-04-23 11:30:00 -0400 EDT,3890,false,1501,false,3176,false,135,false,4580,false,3494,false
Q7,Qualification,2024-04-23 11:36:00 -0400 EDT,1720,false,829,false,5484,false,7617,false,3947,false,7198,false
Q8,Qualification,2024-04-23 11:42:00 -0400 EDT,2171,false,234,false,2909,false,7454,false,3559,false,5188,false
Q9,Qualification,2024-04-23 11:48:00 -0400 EDT,71,false,1555,false,4485,false,45,false,6721,false,447,false
Q10,Qualification,2024-04-23 11:54:00 -0400 EDT,8564,false,1501,false,4580,false,1741,false,3940,false,3494,false
Q11,Qualification,2024-04-23 12:00:00 -0400 EDT,829,false,45,false,71,false,3890,false,7617,false,2909,false
Q12,Qualification,2024-04-23 12:06:00 -0400 EDT,447,false,4485,false,3176,false,7657,false,234,false,7198,false
Q13,Qualification,2024-04-23 12:12:00 -0400 EDT,8564,false,6721,false,5188,false,7454,false,5484,false,2171,false
Q14,Qualification,2024-04-23 12:18:00 -0400 EDT,1555,false,135,false,1720,false,3559,false,1741,false,3947,false
Q15,Qualification,2024-04-23 12:24:00 -0400 EDT,7657,false,4580,false,7454,false,3940,false,829,false,1501,false
Q16,Qualification,2024-04-23 12:30:00 -0400 EDT,3890,false,7617,false,1741,false,1555,false,45,false,3176,false
Q17,Qualification,2024-04-23 12:36:00 -0400 EDT,5188,false,4485,false,135,false,1720,false,2171,false,7198,false
Q18,Qualification,2024-04-23 12:42:00 -0400 EDT,5484,false,234,false,3559,false,3947,false,6721,false,71,false
Q19,Qualification,2024-04-23 12:48:00 -0400 EDT,3494,false,2909,false,5188,false,8564,false,447,false,829,false
Q20,Qualification,2024-04-23 12:54:00 -0400 EDT,1555,false,3890,false,2171,false,7198,false,71,false,1741,false
Q21,Qualification,2024-04-23 13:00:00 -0400 EDT,1501,false,135,false,3947,false,3940,false,447,false,4580,false
Q22,Qualification,2024-04-23 13:06:00 -0400 EDT,4485,false,5484,false,45,false,3176,false,7454,false,234,false
Q23,Qualification,2024-04-23 13:12:00 -0400 EDT,3494,false,6721,false,7657,false,2909,false,1720,false,8564,false
Q24,Qualification,2024-04-23 13:18:00 -0400 EDT,3559,false,1741,false,1555,false,7617,false,135,false,7454,false
Q25,Qualification,2024-04-23 13:24:00 -0400 EDT,2909,false,45,false,7198,false,447,false,3494,false,5484,false
Q26,Qualification,2024-04-23 13:30:00 -0400 EDT,8564,false,234,false,5188,false,4485,false,829,false,3559,false
Q27,Qualification,2024-04-23 13:36:00 -0400 EDT,7617,false,71,false,3940,false,4580,false,3176,false,2171,false
Q28,Qualification,2024-04-23 13:42:00 -0400 EDT,3947,false,1720,false,3890,false,1501,false,7657,false,6721,false
Q29,Qualification,2024-04-23 13:48:00 -0400 EDT,829,false,3176,false,3494,false,5484,false,1555,false,447,false
Q30,Qualification,2024-04-23 13:54:00 -0400 EDT,1741,false,7454,false,2909,false,7657,false,71,false,5188,false
Q31,Qualification,2024-04-23 14:00:00 -0400 EDT,3947,false,8564,false,7198,false,3890,false,3559,false,135,false
Q32,Qualification,2024-04-23 14:06:00 -0400 EDT,4580,false,1720,false,6721,false,4485,false,45,false,234,false
Q33,Qualification,2024-04-23 14:12:00 -0400 EDT,7617,false,1501,false,5484,false,3940,false,2171,false,5188,false
Q34,Qualification,2024-04-23 14:18:00 -0400 EDT,71,false,3890,false,7454,false,2909,false,3494,false,3947,false
Q35,Qualification,2024-04-23 14:24:00 -0400 EDT,1501,false,45,false,2171,false,1555,false,234,false,6721,false
Q36,Qualification,2024-04-23 14:30:00 -0400 EDT,447,false,3176,false,135,false,3559,false,4580,false,829,false
Q37,Qualification,2024-04-23 14:36:00 -0400 EDT,7617,false,7198,false,3940,false,1741,false,7657,false,4485,false
Q38,Qualification,2024-04-23 14:42:00 -0400 EDT,8564,false,1555,false,7454,false,1720,false,71,false,1501,false
Q39,Qualification,2024-04-23 14:48:00 -0400 EDT,3940,false,45,false,135,false,7617,false,234,false,829,false
Q40,Qualification,2024-04-23 14:54:00 -0400 EDT,3176,false,2909,false,8564,false,4485,false,2171,false,3947,false
Q41,Qualification,2024-04-23 15:00:00 -0400 EDT,5188,false,1720,false,447,false,4580,false,3890,false,7657,false
Q42,Qualification,2024-04-23 15:06:00 -0400 EDT,5484,false,6721,false,1741,false,3559,false,7198,false,3494,false
Q43,Qualification,2024-04-23 15:12:00 -0400 EDT,7657,false,135,false,8564,false,3890,false,3940,false,234,false
Q44,Qualification,2024-04-23 15:18:00 -0400 EDT,71,false,1501,false,3559,false,1555,false,829,false,2909,false
Q45,Qualification,2024-04-23 15:24:00 -0400 EDT,3947,false,7454,false,447,false,4485,false,6721,false,7617,false
Q46,Qualification,2024-04-23 15:30:00 -0400 EDT,45,false,1741,false,4580,false,3176,false,5484,false,5188,false
Q47,Qualification,2024-04-23 15:36:00 -0400 EDT,7198,false,2171,false,135,false,1720,false,3494,false,234,false
Q48,Qualification,2024-04-23 15:42:00 -0400 EDT,1741,false,5188,false,4580,false,3947,false,829,false,45,false
Q49,Qualification,2024-04-23 15:48:00 -0400 EDT,447,false,2909,false,3559,false,3940,false,7454,false,5484,false
Q50,Qualification,2024-04-23 15:54:00 -0400 EDT,7657,false,3176,false,71,false,1501,false,7198,false,6721,false
Q51,Qualification,2024-04-23 16:00:00 -0400 EDT,7617,false,2171,false,3494,false,4485,false,8564,false,3890,false
Q52,Qualification,2024-04-23 16:06:00 -0400 EDT,1555,false,3947,false,5188,false,1720,false,3176,false,3940,false
Q53,Qualification,2024-04-23 16:12:00 -0400 EDT,6721,false,829,false,3890,false,2909,false,5484,false,135,false
Q54,Qualification,2024-04-23 16:18:00 -0400 EDT,447,false,7617,false,45,false,1741,false,8564,false,1501,false
Q55,Qualification,2024-04-23 16:24:00 -0400 EDT,7454,false,4485,false,3494,false,1555,false,4580,false,7198,false
Q56,Qualification,2024-04-23 16:30:00 -0400 EDT,71,false,2171,false,234,false,1720,false,7657,false,3559,false
